Code,Name,Synonyms,Problem
,- Module II,,Skipped: Invalid or empty code
,- - Traditional medicine disorders (TM2),,Skipped: Invalid or empty code
,"- - - Head, brain, nerve and movement disorders (TM2)",,Skipped: Invalid or empty code
,- - - - Headache disorders (TM2),,Skipped: Invalid or empty code
SK00,- - - - - Cephalalgia disorder (TM2),"(a) ?ira???la, (b) Ma??aikkuttiyal, (c) S?ud?‘ (a) ?iroruk",
SK01,- - - - - Migraine disorder (TM2),(a) ardh?vabhedaka? (c) Shaq?qa (b) Kap?la a?a?ku?am,
SK0Y,- - - - - Other specified headache disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SK0Z,"- - - - - Headache disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Nervous system disorders (TM2),,Skipped: Invalid or empty code
SK10,- - - - - Vertigo and giddiness disorder (TM2),(a) bhrama? (b) A?al ki?uki?uppu (c) Sadr-o-Duw?r,
SK1Y,- - - - - Other specified nervous system disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SK1Z,"- - - - - Nervous system disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Paralysis disorders (TM2),,Skipped: Invalid or empty code
SK20,- - - - - Facial palsy disorder (TM2),(a) ardita? (b) Uraka v?tam (c) Laqwa,
SK21,- - - - - Paraplegia disorder (TM2),(a) pa?gu? (c) F?lij Asfal lameness (bilateral) / lower limb paralysis (TM2) (a) p??gulyam (c) F?lij At?r?f?,
SK22,- - - - - Hemiplegia disorder (TM2),(a) pak??gh?ta (b) Pak?av?tam (c) F?lij (a) pak?avadha?,
SK2Y,- - - - - Other specified paralysis disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SK2Z,"- - - - - Paralysis disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,- - - - Paroxysmal disorders (TM2),,Skipped: Invalid or empty code
SK30,- - - - - Seizure disorder (TM2),(a) ?k?epaka? (b) Va?ippu (c) Tashannuj,
SK31,- - - - - Epilepsy disorder (TM2),(a) apasm?ra? (b) Va?i ppu (c) S?ar‘,
SK3Y,- - - - - Other specified paroxysmal disorders (TM2),,Skipped: Invalid or missing entity ID in URL
SK3Z,"- - - - - Paroxysmal disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
SK50,- - - - Scalp affliction disorder (TM2),(a) kap?la-roga? (b) Kap?la t?rai,
SK51,- - - - Cervicobrachial pain disorder (TM2),(a) vi?v?c? (b) Cirakkampa v?tam (c) Waja‘ al-‘Unuq ‘As?ab? (c) W?bila Cervicobrachial neuralgia (TM2),
SK52,- - - - Tremor disorder (TM2),(a) kampa? (b) P??ikkampa v?tam (c) Ra‘sha Parkinsonism (TM2),
SK53,- - - - Stammering disorder (TM2),(a) v?k-sa?ga? (b) Patita v?tam (c) Loknat-e zabAn (c) Luknat,
SK54,- - - - Numbness disorder (TM2),(a) prasupti? (b) V?takar?a?am (c) Khadar,
SK55,- - - - Weakness of thighs due to vata disorder (TM2),(a) ?rustambha? (b) ?rustampav?tam,
SK5Y,"- - - - Other specified head, brain, nerve and movement disorders (TM2)",,Skipped: Invalid or missing entity ID in URL
SK5Z,"- - - - Head, brain, nerve and movement disorders (TM2), unspecified",,Skipped: Invalid or missing entity ID in URL
,"- - - Eye, ear, nose, throat and neck disorders (TM2)",,Skipped: Invalid or empty code
,- - - - Eye disorders (TM2),,Skipped: Invalid or empty code
SK60,- - - - - Ocular hyperemia disorder (TM2),(a) sir?prahar?a? (b) Untu nerical (c) Takaddur ?abaqa al-Multa?ima (a) Sir?har?a?,
SK61,- - - - - Prolapse iris disorder (TM2),(a) ajak?j?jta (c) Dhub?b? (a) ajak? (c) Ra’s al-Dhub?b? (b) P?cc?ntiram,
SK62,- - - - - Blepharitis disorder (TM2),(a) vartm?vabandhaka? (b) Imai Ta?ippu (c) Sul?q (c) B?mn?,
SK63,- - - - - Day blindness disorder (TM2),(a) pittavidagdhad???i (b) T?yaka? Kurutu (c) Jahar (a) div?ndhyam (c) Rozkor?,
SK64,- - - - - Night blindness disorder (TM2),(a) r?try?ndhyam (b) M?laikka? (c) ‘Ash?’ (a) kaphavidagdhad???i (c) Shabkor?,
SK65,- - - - - Cataract disorder (TM2),(a) k?ca? (b) Va?i k?cam (c) Nuz?l al-M?’,
SK66,- - - - - Conjunctivitis disorder (TM2),"""(a) abhi?yanda? (b) A??a k?pam (c) Ramad"" (c) ?shob-i-Chashm",
