Code,Name,Synonyms,Problem
,#NAME?,,Skipped: Invalid or empty code
,#NAME?,,Skipped: Invalid or empty code
,#NAME?,,Skipped: Invalid or empty code
,#NAME?,,Skipped: Invalid or empty code
SK00,#NAME?,"(a) ?ira???la, (b) Ma??aikkuttiyal, (c) S?ud?‘ (a) ?iroruk",
SK01,#NAME?,(a) ardh?vabhedaka? (c) Shaq?qa (b) Kap?la a?a?ku?am,
SK0Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK0Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SK10,#NAME?,(a) bhrama? (b) A?al ki?uki?uppu (c) Sadr-o-Duw?r,
SK1Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK1Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SK20,#NAME?,(a) ardita? (b) Uraka v?tam (c) Laqwa,
SK21,#NAME?,(a) pa?gu? (c) F?lij Asfal lameness (bilateral) / lower limb paralysis (TM2) (a) p??gulyam (c) F?lij At?r?f?,
SK22,#NAME?,(a) pak??gh?ta (b) Pak?av?tam (c) F?lij (a) pak?avadha?,
SK2Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK2Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
SK30,#NAME?,(a) ?k?epaka? (b) Va?ippu (c) Tashannuj,
SK31,#NAME?,(a) apasm?ra? (b) Va?i ppu (c) S?ar‘,
SK3Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK3Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK50,#NAME?,(a) kap?la-roga? (b) Kap?la t?rai,
SK51,#NAME?,(a) vi?v?c? (b) Cirakkampa v?tam (c) Waja‘ al-‘Unuq ‘As?ab? (c) W?bila Cervicobrachial neuralgia (TM2),
SK52,#NAME?,(a) kampa? (b) P??ikkampa v?tam (c) Ra‘sha Parkinsonism (TM2),
SK53,#NAME?,(a) v?k-sa?ga? (b) Patita v?tam (c) Loknat-e zabAn (c) Luknat,
SK54,#NAME?,(a) prasupti? (b) V?takar?a?am (c) Khadar,
SK55,#NAME?,(a) ?rustambha? (b) ?rustampav?tam,
SK5Y,#NAME?,,Skipped: Invalid or missing entity ID in URL
SK5Z,#NAME?,,Skipped: Invalid or missing entity ID in URL
,#NAME?,,Skipped: Invalid or empty code
,#NAME?,,Skipped: Invalid or empty code
SK60,#NAME?,(a) sir?prahar?a? (b) Untu nerical (c) Takaddur ?abaqa al-Multa?ima (a) Sir?har?a?,
SK61,#NAME?,(a) ajak?j?jta (c) Dhub?b? (a) ajak? (c) Ra’s al-Dhub?b? (b) P?cc?ntiram,
SK62,#NAME?,(a) vartm?vabandhaka? (b) Imai Ta?ippu (c) Sul?q (c) B?mn?,
SK63,#NAME?,(a) pittavidagdhad???i (b) T?yaka? Kurutu (c) Jahar (a) div?ndhyam (c) Rozkor?,
SK64,#NAME?,(a) r?try?ndhyam (b) M?laikka? (c) ‘Ash?’ (a) kaphavidagdhad???i (c) Shabkor?,
